"date","raw_year","raw_month","m_year","day_of_year","day_of_month","day_of_season","season"
"1900-03-04",1900,3,1900,64,4,4,"MAM"
"1900-03-05",1900,3,1900,65,5,5,"MAM"
"1900-03-06",1900,3,1900,66,6,6,"MAM"
"1900-03-07",1900,3,1900,67,7,7,"MAM"
"1900-03-08",1900,3,1900,68,8,8,"MAM"
"1900-03-09",1900,3,1900,69,9,9,"MAM"
"1900-03-10",1900,3,1900,70,10,10,"MAM"
"1900-03-11",1900,3,1900,71,11,11,"MAM"
"1900-03-12",1900,3,1900,72,12,12,"MAM"
"1900-03-13",1900,3,1900,73,13,13,"MAM"
"1900-03-14",1900,3,1900,74,14,14,"MAM"
"1900-03-15",1900,3,1900,75,15,15,"MAM"
"1900-03-16",1900,3,1900,76,16,16,"MAM"
"1900-03-17",1900,3,1900,77,17,17,"MAM"
"1900-03-18",1900,3,1900,78,18,18,"MAM"
"1900-03-19",1900,3,1900,79,19,19,"MAM"
"1900-03-20",1900,3,1900,80,20,20,"MAM"
"1900-03-21",1900,3,1900,81,21,21,"MAM"
"1900-03-22",1900,3,1900,82,22,22,"MAM"
"1900-03-23",1900,3,1900,83,23,23,"MAM"
"1900-03-24",1900,3,1900,84,24,24,"MAM"
"1900-03-25",1900,3,1900,85,25,25,"MAM"
"1900-03-26",1900,3,1900,86,26,26,"MAM"
"1900-03-27",1900,3,1900,87,27,27,"MAM"
"1900-03-28",1900,3,1900,88,28,28,"MAM"
"1900-03-29",1900,3,1900,89,29,29,"MAM"
"1900-03-30",1900,3,1900,90,30,30,"MAM"
"1900-03-31",1900,3,1900,91,31,31,"MAM"
"1900-04-01",1900,4,1900,92,1,32,"MAM"
"1900-04-02",1900,4,1900,93,2,33,"MAM"
"1900-04-03",1900,4,1900,94,3,34,"MAM"
"1900-04-04",1900,4,1900,95,4,35,"MAM"
"1900-04-05",1900,4,1900,96,5,36,"MAM"
"1900-04-06",1900,4,1900,97,6,37,"MAM"
"1900-04-07",1900,4,1900,98,7,38,"MAM"
"1900-04-08",1900,4,1900,99,8,39,"MAM"
"1900-04-09",1900,4,1900,100,9,40,"MAM"
"1900-04-10",1900,4,1900,101,10,41,"MAM"
"1900-04-11",1900,4,1900,102,11,42,"MAM"
"1900-04-12",1900,4,1900,103,12,43,"MAM"
"1900-04-13",1900,4,1900,104,13,44,"MAM"
"1900-04-14",1900,4,1900,105,14,45,"MAM"
"1900-04-15",1900,4,1900,106,15,46,"MAM"
"1900-04-16",1900,4,1900,107,16,47,"MAM"
"1900-04-17",1900,4,1900,108,17,48,"MAM"
"1900-04-18",1900,4,1900,109,18,49,"MAM"
"1900-04-19",1900,4,1900,110,19,50,"MAM"
"1900-04-20",1900,4,1900,111,20,51,"MAM"
"1900-04-21",1900,4,1900,112,21,52,"MAM"
"1900-04-22",1900,4,1900,113,22,53,"MAM"
"1900-04-23",1900,4,1900,114,23,54,"MAM"
"1900-04-24",1900,4,1900,115,24,55,"MAM"
"1900-04-25",1900,4,1900,116,25,56,"MAM"
"1900-04-26",1900,4,1900,117,26,57,"MAM"
"1900-04-27",1900,4,1900,118,27,58,"MAM"
"1900-04-28",1900,4,1900,119,28,59,"MAM"
"1900-04-29",1900,4,1900,120,29,60,"MAM"
"1900-04-30",1900,4,1900,121,30,61,"MAM"
"1900-05-01",1900,5,1900,122,1,62,"MAM"
"1900-05-02",1900,5,1900,123,2,63,"MAM"
"1900-05-03",1900,5,1900,124,3,64,"MAM"
"1900-05-04",1900,5,1900,125,4,65,"MAM"
"1900-05-05",1900,5,1900,126,5,66,"MAM"
"1900-05-06",1900,5,1900,127,6,67,"MAM"
"1900-05-07",1900,5,1900,128,7,68,"MAM"
"1900-05-08",1900,5,1900,129,8,69,"MAM"
"1900-05-09",1900,5,1900,130,9,70,"MAM"
"1900-05-10",1900,5,1900,131,10,71,"MAM"
"1900-05-11",1900,5,1900,132,11,72,"MAM"
"1900-05-12",1900,5,1900,133,12,73,"MAM"
"1900-05-13",1900,5,1900,134,13,74,"MAM"
"1900-05-14",1900,5,1900,135,14,75,"MAM"
"1900-05-15",1900,5,1900,136,15,76,"MAM"
"1900-05-16",1900,5,1900,137,16,77,"MAM"
"1900-05-17",1900,5,1900,138,17,78,"MAM"
"1900-05-18",1900,5,1900,139,18,79,"MAM"
"1900-05-19",1900,5,1900,140,19,80,"MAM"
"1900-05-20",1900,5,1900,141,20,81,"MAM"
"1900-05-21",1900,5,1900,142,21,82,"MAM"
"1900-05-22",1900,5,1900,143,22,83,"MAM"
"1900-05-23",1900,5,1900,144,23,84,"MAM"
"1900-05-24",1900,5,1900,145,24,85,"MAM"
"1900-05-25",1900,5,1900,146,25,86,"MAM"
"1900-05-26",1900,5,1900,147,26,87,"MAM"
"1900-05-27",1900,5,1900,148,27,88,"MAM"
"1900-05-28",1900,5,1900,149,28,89,"MAM"
"1900-05-29",1900,5,1900,150,29,90,"MAM"
"1900-05-30",1900,5,1900,151,30,91,"MAM"
"1900-05-31",1900,5,1900,152,31,92,"MAM"
"1900-06-01",1900,6,1900,153,1,1,"JJA"
"1900-06-02",1900,6,1900,154,2,2,"JJA"
"1900-06-03",1900,6,1900,155,3,3,"JJA"
"1900-06-04",1900,6,1900,156,4,4,"JJA"
"1900-06-05",1900,6,1900,157,5,5,"JJA"
"1900-06-06",1900,6,1900,158,6,6,"JJA"
"1900-06-07",1900,6,1900,159,7,7,"JJA"
"1900-06-08",1900,6,1900,160,8,8,"JJA"
"1900-06-09",1900,6,1900,161,9,9,"JJA"
"1900-06-10",1900,6,1900,162,10,10,"JJA"
"1900-06-11",1900,6,1900,163,11,11,"JJA"
"1900-06-12",1900,6,1900,164,12,12,"JJA"
"1900-06-13",1900,6,1900,165,13,13,"JJA"
"1900-06-14",1900,6,1900,166,14,14,"JJA"
"1900-06-15",1900,6,1900,167,15,15,"JJA"
"1900-06-16",1900,6,1900,168,16,16,"JJA"
"1900-06-17",1900,6,1900,169,17,17,"JJA"
"1900-06-18",1900,6,1900,170,18,18,"JJA"
"1900-06-19",1900,6,1900,171,19,19,"JJA"
"1900-06-20",1900,6,1900,172,20,20,"JJA"
"1900-06-21",1900,6,1900,173,21,21,"JJA"
"1900-06-22",1900,6,1900,174,22,22,"JJA"
"1900-06-23",1900,6,1900,175,23,23,"JJA"
"1900-06-24",1900,6,1900,176,24,24,"JJA"
"1900-06-25",1900,6,1900,177,25,25,"JJA"
"1900-06-26",1900,6,1900,178,26,26,"JJA"
"1900-06-27",1900,6,1900,179,27,27,"JJA"
"1900-06-28",1900,6,1900,180,28,28,"JJA"
"1900-06-29",1900,6,1900,181,29,29,"JJA"
"1900-06-30",1900,6,1900,182,30,30,"JJA"
"1900-07-01",1900,7,1900,183,1,31,"JJA"
"1900-07-02",1900,7,1900,184,2,32,"JJA"
"1900-07-03",1900,7,1900,185,3,33,"JJA"
"1900-07-04",1900,7,1900,186,4,34,"JJA"
"1900-07-05",1900,7,1900,187,5,35,"JJA"
"1900-07-06",1900,7,1900,188,6,36,"JJA"
"1900-07-07",1900,7,1900,189,7,37,"JJA"
"1900-07-08",1900,7,1900,190,8,38,"JJA"
"1900-07-09",1900,7,1900,191,9,39,"JJA"
"1900-07-10",1900,7,1900,192,10,40,"JJA"
"1900-07-11",1900,7,1900,193,11,41,"JJA"
"1900-07-12",1900,7,1900,194,12,42,"JJA"
"1900-07-13",1900,7,1900,195,13,43,"JJA"
"1900-07-14",1900,7,1900,196,14,44,"JJA"
"1900-07-15",1900,7,1900,197,15,45,"JJA"
"1900-07-16",1900,7,1900,198,16,46,"JJA"
"1900-07-17",1900,7,1900,199,17,47,"JJA"
"1900-07-18",1900,7,1900,200,18,48,"JJA"
"1900-07-19",1900,7,1900,201,19,49,"JJA"
"1900-07-20",1900,7,1900,202,20,50,"JJA"
"1900-07-21",1900,7,1900,203,21,51,"JJA"
"1900-07-22",1900,7,1900,204,22,52,"JJA"
"1900-07-23",1900,7,1900,205,23,53,"JJA"
"1900-07-24",1900,7,1900,206,24,54,"JJA"
"1900-07-25",1900,7,1900,207,25,55,"JJA"
"1900-07-26",1900,7,1900,208,26,56,"JJA"
"1900-07-27",1900,7,1900,209,27,57,"JJA"
"1900-07-28",1900,7,1900,210,28,58,"JJA"
"1900-07-29",1900,7,1900,211,29,59,"JJA"
"1900-07-30",1900,7,1900,212,30,60,"JJA"
"1900-07-31",1900,7,1900,213,31,61,"JJA"
"1900-08-01",1900,8,1900,214,1,62,"JJA"
"1900-08-02",1900,8,1900,215,2,63,"JJA"
"1900-08-03",1900,8,1900,216,3,64,"JJA"
"1900-08-04",1900,8,1900,217,4,65,"JJA"
"1900-08-05",1900,8,1900,218,5,66,"JJA"
"1900-08-06",1900,8,1900,219,6,67,"JJA"
"1900-08-07",1900,8,1900,220,7,68,"JJA"
"1900-08-08",1900,8,1900,221,8,69,"JJA"
"1900-08-09",1900,8,1900,222,9,70,"JJA"
"1900-08-10",1900,8,1900,223,10,71,"JJA"
"1900-08-11",1900,8,1900,224,11,72,"JJA"
"1900-08-12",1900,8,1900,225,12,73,"JJA"
"1900-08-13",1900,8,1900,226,13,74,"JJA"
"1900-08-14",1900,8,1900,227,14,75,"JJA"
"1900-08-15",1900,8,1900,228,15,76,"JJA"
"1900-08-16",1900,8,1900,229,16,77,"JJA"
"1900-08-17",1900,8,1900,230,17,78,"JJA"
"1900-08-18",1900,8,1900,231,18,79,"JJA"
"1900-08-19",1900,8,1900,232,19,80,"JJA"
"1900-08-20",1900,8,1900,233,20,81,"JJA"
"1900-08-21",1900,8,1900,234,21,82,"JJA"
"1900-08-22",1900,8,1900,235,22,83,"JJA"
"1900-08-23",1900,8,1900,236,23,84,"JJA"
"1900-08-24",1900,8,1900,237,24,85,"JJA"
"1900-08-25",1900,8,1900,238,25,86,"JJA"
"1900-08-26",1900,8,1900,239,26,87,"JJA"
"1900-08-27",1900,8,1900,240,27,88,"JJA"
"1900-08-28",1900,8,1900,241,28,89,"JJA"
"1900-08-29",1900,8,1900,242,29,90,"JJA"
"1900-08-30",1900,8,1900,243,30,91,"JJA"
"1900-08-31",1900,8,1900,244,31,92,"JJA"
"1900-09-01",1900,9,1900,245,1,1,"SON"
"1900-09-02",1900,9,1900,246,2,2,"SON"
"1900-09-03",1900,9,1900,247,3,3,"SON"
"1900-09-04",1900,9,1900,248,4,4,"SON"
"1900-09-05",1900,9,1900,249,5,5,"SON"
"1900-09-06",1900,9,1900,250,6,6,"SON"
"1900-09-07",1900,9,1900,251,7,7,"SON"
"1900-09-08",1900,9,1900,252,8,8,"SON"
"1900-09-09",1900,9,1900,253,9,9,"SON"
"1900-09-10",1900,9,1900,254,10,10,"SON"
"1900-09-11",1900,9,1900,255,11,11,"SON"
"1900-09-12",1900,9,1900,256,12,12,"SON"
"1900-09-13",1900,9,1900,257,13,13,"SON"
"1900-09-14",1900,9,1900,258,14,14,"SON"
"1900-09-15",1900,9,1900,259,15,15,"SON"
"1900-09-16",1900,9,1900,260,16,16,"SON"
"1900-09-17",1900,9,1900,261,17,17,"SON"
"1900-09-18",1900,9,1900,262,18,18,"SON"
"1900-09-19",1900,9,1900,263,19,19,"SON"
"1900-09-20",1900,9,1900,264,20,20,"SON"
"1900-09-21",1900,9,1900,265,21,21,"SON"
"1900-09-22",1900,9,1900,266,22,22,"SON"
"1900-09-23",1900,9,1900,267,23,23,"SON"
"1900-09-24",1900,9,1900,268,24,24,"SON"
"1900-09-25",1900,9,1900,269,25,25,"SON"
"1900-09-26",1900,9,1900,270,26,26,"SON"
"1900-09-27",1900,9,1900,271,27,27,"SON"
"1900-09-28",1900,9,1900,272,28,28,"SON"
"1900-09-29",1900,9,1900,273,29,29,"SON"
"1900-09-30",1900,9,1900,274,30,30,"SON"
"1900-10-01",1900,10,1900,275,1,31,"SON"
"1900-10-02",1900,10,1900,276,2,32,"SON"
"1900-10-03",1900,10,1900,277,3,33,"SON"
"1900-10-04",1900,10,1900,278,4,34,"SON"
"1900-10-05",1900,10,1900,279,5,35,"SON"
"1900-10-06",1900,10,1900,280,6,36,"SON"
"1900-10-07",1900,10,1900,281,7,37,"SON"
"1900-10-08",1900,10,1900,282,8,38,"SON"
"1900-10-09",1900,10,1900,283,9,39,"SON"
"1900-10-10",1900,10,1900,284,10,40,"SON"
"1900-10-11",1900,10,1900,285,11,41,"SON"
"1900-10-12",1900,10,1900,286,12,42,"SON"
"1900-10-13",1900,10,1900,287,13,43,"SON"
"1900-10-14",1900,10,1900,288,14,44,"SON"
"1900-10-15",1900,10,1900,289,15,45,"SON"
"1900-10-16",1900,10,1900,290,16,46,"SON"
"1900-10-17",1900,10,1900,291,17,47,"SON"
"1900-10-18",1900,10,1900,292,18,48,"SON"
"1900-10-19",1900,10,1900,293,19,49,"SON"
"1900-10-20",1900,10,1900,294,20,50,"SON"
"1900-10-21",1900,10,1900,295,21,51,"SON"
"1900-10-22",1900,10,1900,296,22,52,"SON"
"1900-10-23",1900,10,1900,297,23,53,"SON"
"1900-10-24",1900,10,1900,298,24,54,"SON"
"1900-10-25",1900,10,1900,299,25,55,"SON"
"1900-10-26",1900,10,1900,300,26,56,"SON"
"1900-10-27",1900,10,1900,301,27,57,"SON"
"1900-10-28",1900,10,1900,302,28,58,"SON"
"1900-10-29",1900,10,1900,303,29,59,"SON"
"1900-10-30",1900,10,1900,304,30,60,"SON"
"1900-10-31",1900,10,1900,305,31,61,"SON"
"1900-11-01",1900,11,1900,306,1,62,"SON"
"1900-11-02",1900,11,1900,307,2,63,"SON"
"1900-11-03",1900,11,1900,308,3,64,"SON"
"1900-11-04",1900,11,1900,309,4,65,"SON"
"1900-11-05",1900,11,1900,310,5,66,"SON"
"1900-11-06",1900,11,1900,311,6,67,"SON"
"1900-11-07",1900,11,1900,312,7,68,"SON"
"1900-11-08",1900,11,1900,313,8,69,"SON"
"1900-11-09",1900,11,1900,314,9,70,"SON"
"1900-11-10",1900,11,1900,315,10,71,"SON"
"1900-11-11",1900,11,1900,316,11,72,"SON"
"1900-11-12",1900,11,1900,317,12,73,"SON"
"1900-11-13",1900,11,1900,318,13,74,"SON"
"1900-11-14",1900,11,1900,319,14,75,"SON"
"1900-11-15",1900,11,1900,320,15,76,"SON"
"1900-11-16",1900,11,1900,321,16,77,"SON"
"1900-11-17",1900,11,1900,322,17,78,"SON"
"1900-11-18",1900,11,1900,323,18,79,"SON"
"1900-11-19",1900,11,1900,324,19,80,"SON"
"1900-11-20",1900,11,1900,325,20,81,"SON"
"1900-11-21",1900,11,1900,326,21,82,"SON"
"1900-11-22",1900,11,1900,327,22,83,"SON"
"1900-11-23",1900,11,1900,328,23,84,"SON"
"1900-11-24",1900,11,1900,329,24,85,"SON"
"1900-11-25",1900,11,1900,330,25,86,"SON"
"1900-11-26",1900,11,1900,331,26,87,"SON"
"1900-11-27",1900,11,1900,332,27,88,"SON"
"1900-11-28",1900,11,1900,333,28,89,"SON"
"1900-11-29",1900,11,1900,334,29,90,"SON"
"1900-11-30",1900,11,1900,335,30,91,"SON"
"1900-12-01",1900,12,1901,336,1,1,"DJF"
"1900-12-02",1900,12,1901,337,2,2,"DJF"
"1900-12-03",1900,12,1901,338,3,3,"DJF"
"1900-12-04",1900,12,1901,339,4,4,"DJF"
"1900-12-05",1900,12,1901,340,5,5,"DJF"
"1900-12-06",1900,12,1901,341,6,6,"DJF"
"1900-12-07",1900,12,1901,342,7,7,"DJF"
"1900-12-08",1900,12,1901,343,8,8,"DJF"
"1900-12-09",1900,12,1901,344,9,9,"DJF"
"1900-12-10",1900,12,1901,345,10,10,"DJF"
"1900-12-11",1900,12,1901,346,11,11,"DJF"
"1900-12-12",1900,12,1901,347,12,12,"DJF"
"1900-12-13",1900,12,1901,348,13,13,"DJF"
"1900-12-14",1900,12,1901,349,14,14,"DJF"
"1900-12-15",1900,12,1901,350,15,15,"DJF"
"1900-12-16",1900,12,1901,351,16,16,"DJF"
"1900-12-17",1900,12,1901,352,17,17,"DJF"
"1900-12-18",1900,12,1901,353,18,18,"DJF"
"1900-12-19",1900,12,1901,354,19,19,"DJF"
"1900-12-20",1900,12,1901,355,20,20,"DJF"
"1900-12-21",1900,12,1901,356,21,21,"DJF"
"1900-12-22",1900,12,1901,357,22,22,"DJF"
"1900-12-23",1900,12,1901,358,23,23,"DJF"
"1900-12-24",1900,12,1901,359,24,24,"DJF"
"1900-12-25",1900,12,1901,360,25,25,"DJF"
"1900-12-26",1900,12,1901,361,26,26,"DJF"
"1900-12-27",1900,12,1901,362,27,27,"DJF"
"1900-12-28",1900,12,1901,363,28,28,"DJF"
"1900-12-29",1900,12,1901,364,29,29,"DJF"
"1900-12-30",1900,12,1901,365,30,30,"DJF"
"1900-12-31",1900,12,1901,366,31,31,"DJF"
"1901-01-01",1901,1,1901,1,1,32,"DJF"
"1901-01-02",1901,1,1901,2,2,33,"DJF"
"1901-01-03",1901,1,1901,3,3,34,"DJF"
"1901-01-04",1901,1,1901,4,4,35,"DJF"
"1901-01-05",1901,1,1901,5,5,36,"DJF"
"1901-01-06",1901,1,1901,6,6,37,"DJF"
"1901-01-07",1901,1,1901,7,7,38,"DJF"
"1901-01-08",1901,1,1901,8,8,39,"DJF"
"1901-01-09",1901,1,1901,9,9,40,"DJF"
"1901-01-10",1901,1,1901,10,10,41,"DJF"
"1901-01-11",1901,1,1901,11,11,42,"DJF"
"1901-01-12",1901,1,1901,12,12,43,"DJF"
"1901-01-13",1901,1,1901,13,13,44,"DJF"
"1901-01-14",1901,1,1901,14,14,45,"DJF"
"1901-01-15",1901,1,1901,15,15,46,"DJF"
"1901-01-16",1901,1,1901,16,16,47,"DJF"
"1901-01-17",1901,1,1901,17,17,48,"DJF"
"1901-01-18",1901,1,1901,18,18,49,"DJF"
"1901-01-19",1901,1,1901,19,19,50,"DJF"
"1901-01-20",1901,1,1901,20,20,51,"DJF"
"1901-01-21",1901,1,1901,21,21,52,"DJF"
"1901-01-22",1901,1,1901,22,22,53,"DJF"
"1901-01-23",1901,1,1901,23,23,54,"DJF"
"1901-01-24",1901,1,1901,24,24,55,"DJF"
"1901-01-25",1901,1,1901,25,25,56,"DJF"
"1901-01-26",1901,1,1901,26,26,57,"DJF"
"1901-01-27",1901,1,1901,27,27,58,"DJF"
"1901-01-28",1901,1,1901,28,28,59,"DJF"
"1901-01-29",1901,1,1901,29,29,60,"DJF"
"1901-01-30",1901,1,1901,30,30,61,"DJF"
"1901-01-31",1901,1,1901,31,31,62,"DJF"
"1901-02-01",1901,2,1901,32,1,63,"DJF"
"1901-02-02",1901,2,1901,33,2,64,"DJF"
"1901-02-03",1901,2,1901,34,3,65,"DJF"
"1901-02-04",1901,2,1901,35,4,66,"DJF"
"1901-02-05",1901,2,1901,36,5,67,"DJF"
"1901-02-06",1901,2,1901,37,6,68,"DJF"
"1901-02-07",1901,2,1901,38,7,69,"DJF"
"1901-02-08",1901,2,1901,39,8,70,"DJF"
"1901-02-09",1901,2,1901,40,9,71,"DJF"
"1901-02-10",1901,2,1901,41,10,72,"DJF"
"1901-02-11",1901,2,1901,42,11,73,"DJF"
"1901-02-12",1901,2,1901,43,12,74,"DJF"
"1901-02-13",1901,2,1901,44,13,75,"DJF"
"1901-02-14",1901,2,1901,45,14,76,"DJF"
"1901-02-15",1901,2,1901,46,15,77,"DJF"
"1901-02-16",1901,2,1901,47,16,78,"DJF"
"1901-02-17",1901,2,1901,48,17,79,"DJF"
"1901-02-18",1901,2,1901,49,18,80,"DJF"
"1901-02-19",1901,2,1901,50,19,81,"DJF"
"1901-02-20",1901,2,1901,51,20,82,"DJF"
"1901-02-21",1901,2,1901,52,21,83,"DJF"
"1901-02-22",1901,2,1901,53,22,84,"DJF"
"1901-02-23",1901,2,1901,54,23,85,"DJF"
"1901-02-24",1901,2,1901,55,24,86,"DJF"
"1901-02-25",1901,2,1901,56,25,87,"DJF"
"1901-02-26",1901,2,1901,57,26,88,"DJF"
"1901-02-27",1901,2,1901,58,27,89,"DJF"
"1901-02-28",1901,2,1901,59,28,90,"DJF"
"1901-03-01",1901,3,1901,61,1,1,"MAM"
"1901-03-02",1901,3,1901,62,2,2,"MAM"
"1901-03-03",1901,3,1901,63,3,3,"MAM"
"1901-03-04",1901,3,1901,64,4,4,"MAM"
"1901-03-05",1901,3,1901,65,5,5,"MAM"
"1901-03-06",1901,3,1901,66,6,6,"MAM"
"1901-03-07",1901,3,1901,67,7,7,"MAM"
"1901-03-08",1901,3,1901,68,8,8,"MAM"
"1901-03-09",1901,3,1901,69,9,9,"MAM"
"1901-03-10",1901,3,1901,70,10,10,"MAM"
"1901-03-11",1901,3,1901,71,11,11,"MAM"
"1901-03-12",1901,3,1901,72,12,12,"MAM"
"1901-03-13",1901,3,1901,73,13,13,"MAM"
"1901-03-14",1901,3,1901,74,14,14,"MAM"
"1901-03-15",1901,3,1901,75,15,15,"MAM"
"1901-03-16",1901,3,1901,76,16,16,"MAM"
"1901-03-17",1901,3,1901,77,17,17,"MAM"
"1901-03-18",1901,3,1901,78,18,18,"MAM"
"1901-03-19",1901,3,1901,79,19,19,"MAM"
"1901-03-20",1901,3,1901,80,20,20,"MAM"
"1901-03-21",1901,3,1901,81,21,21,"MAM"
"1901-03-22",1901,3,1901,82,22,22,"MAM"
"1901-03-23",1901,3,1901,83,23,23,"MAM"
"1901-03-24",1901,3,1901,84,24,24,"MAM"
"1901-03-25",1901,3,1901,85,25,25,"MAM"
"1901-03-26",1901,3,1901,86,26,26,"MAM"
"1901-03-27",1901,3,1901,87,27,27,"MAM"
"1901-03-28",1901,3,1901,88,28,28,"MAM"
"1901-03-29",1901,3,1901,89,29,29,"MAM"
"1901-03-30",1901,3,1901,90,30,30,"MAM"
"1901-03-31",1901,3,1901,91,31,31,"MAM"
"1901-04-01",1901,4,1901,92,1,32,"MAM"
"1901-04-02",1901,4,1901,93,2,33,"MAM"
"1901-04-03",1901,4,1901,94,3,34,"MAM"
"1901-04-04",1901,4,1901,95,4,35,"MAM"
"1901-04-05",1901,4,1901,96,5,36,"MAM"
"1901-04-06",1901,4,1901,97,6,37,"MAM"
"1901-04-07",1901,4,1901,98,7,38,"MAM"
"1901-04-08",1901,4,1901,99,8,39,"MAM"
"1901-04-09",1901,4,1901,100,9,40,"MAM"
"1901-04-10",1901,4,1901,101,10,41,"MAM"
"1901-04-11",1901,4,1901,102,11,42,"MAM"
"1901-04-12",1901,4,1901,103,12,43,"MAM"
"1901-04-13",1901,4,1901,104,13,44,"MAM"
"1901-04-14",1901,4,1901,105,14,45,"MAM"
"1901-04-15",1901,4,1901,106,15,46,"MAM"
"1901-04-16",1901,4,1901,107,16,47,"MAM"
"1901-04-17",1901,4,1901,108,17,48,"MAM"
"1901-04-18",1901,4,1901,109,18,49,"MAM"
"1901-04-19",1901,4,1901,110,19,50,"MAM"
"1901-04-20",1901,4,1901,111,20,51,"MAM"
"1901-04-21",1901,4,1901,112,21,52,"MAM"
"1901-04-22",1901,4,1901,113,22,53,"MAM"
"1901-04-23",1901,4,1901,114,23,54,"MAM"
"1901-04-24",1901,4,1901,115,24,55,"MAM"
"1901-04-25",1901,4,1901,116,25,56,"MAM"
"1901-04-26",1901,4,1901,117,26,57,"MAM"
"1901-04-27",1901,4,1901,118,27,58,"MAM"
"1901-04-28",1901,4,1901,119,28,59,"MAM"
"1901-04-29",1901,4,1901,120,29,60,"MAM"
"1901-04-30",1901,4,1901,121,30,61,"MAM"
"1901-05-01",1901,5,1901,122,1,62,"MAM"
"1901-05-02",1901,5,1901,123,2,63,"MAM"
"1901-05-03",1901,5,1901,124,3,64,"MAM"
"1901-05-04",1901,5,1901,125,4,65,"MAM"
"1901-05-05",1901,5,1901,126,5,66,"MAM"
"1901-05-06",1901,5,1901,127,6,67,"MAM"
"1901-05-07",1901,5,1901,128,7,68,"MAM"
"1901-05-08",1901,5,1901,129,8,69,"MAM"
"1901-05-09",1901,5,1901,130,9,70,"MAM"
"1901-05-10",1901,5,1901,131,10,71,"MAM"
"1901-05-11",1901,5,1901,132,11,72,"MAM"
"1901-05-12",1901,5,1901,133,12,73,"MAM"
"1901-05-13",1901,5,1901,134,13,74,"MAM"
"1901-05-14",1901,5,1901,135,14,75,"MAM"
"1901-05-15",1901,5,1901,136,15,76,"MAM"
